loan_amnt,term,int_rate,installment,grade,sub_grade,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,zip_code,addr_state,desc
19500.0, 60 months,24.5,566.65,F,F3,MORTGAGE,60000.0,Verified,2013-09-01,1,credit_card,31.56,Oct-1996,11.0,0.0,14032.0,59.7,32.0,f,Individual,4.0,0.0,360xx,AL,  Borrower added on 08/19/13 > To pay off all loans. So I have 1 payment.<br>
28000.0, 36 months,7.9,876.13,A,A4,MORTGAGE,122000.0,Verified,2013-02-01,1,debt_consolidation,21.37,Mar-2002,15.0,0.0,50804.0,60.0,29.0,f,Individual,2.0,0.0,221xx,VA,"  Borrower added on 01/25/13 > Most of my debt accumulated due to my graduate school cost of for books, housing and much more.  Now, I get a chance to wipe this debt clean! Thank you Lending Club!<br>"
15000.0, 36 months,10.16,485.14,B,B1,RENT,120000.0,Source Verified,2013-03-01,1,credit_card,9.53,Jan-2005,8.0,0.0,8142.0,84.8,13.0,f,Individual,0.0,0.0,900xx,CA,  Borrower added on 03/07/13 > I'd like to pay off my high interest credit card debt<br>
35000.0, 36 months,17.77,1261.3,D,D1,RENT,180000.0,Verified,2013-03-01,0,debt_consolidation,29.29,Sep-1993,14.0,0.0,40003.0,86.6,45.0,f,Individual,2.0,0.0,206xx,MD,  Borrower added on 03/18/13 > Debt consolidation and moving expenses<br>
12000.0, 36 months,15.8,420.71,C,C3,MORTGAGE,40000.0,Verified,2013-02-01,0,debt_consolidation,20.94,Jan-2006,8.0,0.0,14547.0,87.1,11.0,w,Individual,2.0,0.0,550xx,MN,  Borrower added on 01/30/13 > Just trying to eliminate high interest credit card bills and medical debt from my sick wifes hospital visits.<br>
30000.0, 60 months,17.56,754.65,D,D1,MORTGAGE,285000.0,Source Verified,2013-08-01,1,debt_consolidation,12.78,Aug-1987,16.0,0.0,116680.0,63.1,42.0,f,Individual,9.0,0.0,194xx,PA,  Borrower added on 07/17/13 > I am a Lending Club investor who has been paying off my debt since the recovery. I have 3 more credit cards to pay off so I said what the hell let me  experience what the borrower process is. I'm impressed.<br>
6400.0, 36 months,11.14,209.96,B,B2,MORTGAGE,85000.0,Verified,2012-10-01,1,credit_card,3.73,Dec-2005,6.0,0.0,10249.0,77.1,9.0,f,Individual,1.0,0.0,940xx,CA,  Borrower added on 09/24/12 > My story is probably pretty typical. I have credit card debt that I would love to pay off using this lower APR loan.<br>
18000.0, 36 months,7.62,560.91,A,A3,RENT,46000.0,Not Verified,2013-12-01,1,credit_card,11.27,Oct-1996,12.0,0.0,15950.0,38.1,25.0,w,Individual,2.0,0.0,333xx,FL,  Borrower added on 12/30/13 > to pay my credicards deb<br>
9000.0, 36 months,14.33,309.05,C,C1,RENT,75000.0,Not Verified,2013-02-01,0,credit_card,7.74,Jan-1999,8.0,0.0,20080.0,72.2,26.0,f,Individual,0.0,0.0,064xx,CT,  Borrower added on 02/11/13 > First loan withdrawn in error.  Mostly to pay off credit cards used for veterinarian surgery for my dog.<br>
20000.0, 60 months,17.1,498.13,C,C5,MORTGAGE,100000.0,Source Verified,2013-10-01,1,home_improvement,7.53,Feb-2002,9.0,0.0,7585.0,28.3,39.0,w,Individual,4.0,0.0,957xx,CA,"  Borrower added on 10/16/13 > I will be putting new floors and paint and furniture in the home I own, in addition to paying off a credit card.<br>"
24000.0, 60 months,21.98,662.59,E,E4,MORTGAGE,78000.0,Verified,2013-01-01,0,debt_consolidation,24.66,Feb-2003,13.0,0.0,24647.0,87.1,45.0,w,Individual,2.0,0.0,610xx,IL,  Borrower added on 01/22/13 > consolidate my debt to lower monthly payments<br>
10000.0, 36 months,7.9,312.91,A,A4,MORTGAGE,51000.0,Source Verified,2014-02-01,1,debt_consolidation,29.74,Oct-1997,8.0,0.0,12940.0,52.0,37.0,w,Individual,3.0,0.0,477xx,IN,  Borrower added on 02/11/14 > Consolidate a couple smaller balances into 1 with a lower rate to pay it off faster.<br>
17500.0, 36 months,15.31,609.31,C,C2,MORTGAGE,95000.0,Not Verified,2012-09-01,1,credit_card,8.01,Jan-1993,6.0,0.0,27195.0,75.5,25.0,f,Individual,5.0,0.0,856xx,AZ,  Borrower added on 09/16/12 > This is to pay off 2 of my 4 credit cards including the largest at Wells Fargo that is about 10500.00. The other will pay Capital One off which is about 6500.00. I have only one other unamed card with a 0.00 balance on 2500.00 at Home Depot (Citibank).<br>
10000.0, 36 months,14.16,342.56,C,C2,MORTGAGE,85000.0,Not Verified,2014-03-01,1,debt_consolidation,14.06,Nov-1992,13.0,0.0,12061.0,69.0,24.0,w,Individual,2.0,0.0,431xx,OH,  Borrower added on 03/18/14 > To pay off high interest credit cards<br>
20000.0, 36 months,6.62,614.08,A,A2,RENT,66000.0,Verified,2013-08-01,1,debt_consolidation,19.56,Feb-2001,7.0,0.0,3491.0,15.9,18.0,f,Individual,0.0,0.0,440xx,OH,  Borrower added on 07/20/13 > Consolidate high interest credit debt<br>
35000.0, 60 months,21.18,950.42,E,E3,MORTGAGE,90000.0,Verified,2014-03-01,1,debt_consolidation,10.2,Nov-1999,17.0,0.0,51805.0,62.0,42.0,f,Individual,4.0,0.0,113xx,NY,  Borrower added on 03/18/14 > I would like to consolidate my debts.<br>
18000.0, 60 months,15.31,431.16,C,C2,MORTGAGE,64500.0,Verified,2013-05-01,1,credit_card,17.82,Aug-1982,11.0,0.0,15040.0,64.0,18.0,w,Individual,1.0,0.0,442xx,OH,"  Borrower added on 04/24/13 > Credit Card refinance, debt consolidation.  Don't seem to get ahead by making over minimum payments on credit cards.  Something keeps coming up that puts me further behind.<br>"
4450.0, 36 months,17.56,159.9,D,D1,OWN,15500.0,Verified,2013-07-01,0,debt_consolidation,20.04,Dec-2006,5.0,0.0,9311.0,88.7,9.0,f,Individual,0.0,0.0,462xx,IN,  Borrower added on 07/01/13 > Debt consolidation.<br>
12500.0, 36 months,14.09,427.77,B,B5,MORTGAGE,78600.0,Verified,2013-03-01,0,credit_card,32.1,May-1989,24.0,0.0,18211.0,51.3,39.0,f,Individual,1.0,0.0,550xx,MN,"  Borrower added on 02/28/13 > The loan is requested to pay off all our charge cards, cut them up, and only have one payment per month.  Credit card freedom.<br>"
18250.0, 60 months,15.1,435.13,C,C2,OWN,42000.0,Verified,2013-11-01,1,home_improvement,26.09,Jun-2006,11.0,0.0,22251.0,57.9,19.0,w,Individual,0.0,0.0,331xx,FL,  Borrower added on 10/14/13 > home improvement<br><br> Borrower added on 10/14/13 > home improvement<br>
25000.0, 60 months,19.99,662.21,E,E1,MORTGAGE,92000.0,Verified,2012-05-01,1,debt_consolidation,24.2,Jul-1997,10.0,0.0,23693.0,86.5,34.0,f,Individual,3.0,0.0,750xx,TX,  Borrower added on 05/21/12 > Always make payments on time. Not a late payer.<br><br> Borrower added on 05/21/12 > Have a proven track record to pay quickly. Have employment that is stable. Pay on time always and months I can pay more I will.<br>
12000.0, 36 months,6.62,368.45,A,A2,MORTGAGE,104500.0,Not Verified,2012-10-01,1,debt_consolidation,19.74,Dec-2000,7.0,0.0,21162.0,66.0,52.0,w,Individual,5.0,0.0,364xx,AL,"  Borrower added on 10/11/12 > I need to pay off a loan of $30,000.  <br><br>I used this loan to purchase a home next door to my primary residence.  I have to carry insurance on the home.  Recently, FEMA revised its Flood Map.  The bank is now requiring flood zone A coverage.  This is an additional $1,423 annually.<br>"
14000.0, 36 months,14.33,480.74,C,C1,RENT,40000.0,Not Verified,2013-01-01,1,debt_consolidation,25.53,Jun-1996,10.0,0.0,10778.0,70.0,24.0,f,Individual,0.0,0.0,928xx,CA,  Borrower added on 12/28/12 > Need to pay off credit card debt with higher interest rate.<br>
9450.0, 36 months,15.61,330.42,C,C3,MORTGAGE,27000.0,Source Verified,2013-10-01,1,other,19.33,Oct-2005,9.0,0.0,6166.0,49.7,19.0,f,Individual,1.0,0.0,305xx,GA,  Borrower added on 09/30/13 > I want this loan to pay may credit cards and my doctors bill. I dont want to still paying high  interest.<br>
18000.0, 60 months,17.57,452.89,D,D2,OWN,50000.0,Verified,2014-02-01,0,credit_card,18.29,Jan-2003,3.0,0.0,30518.0,83.2,7.0,w,Individual,0.0,0.0,731xx,OK,  Borrower added on 02/13/14 > To pay off credit cards<br>
10000.0, 60 months,15.31,239.53,C,C4,MORTGAGE,67000.0,Source Verified,2014-03-01,1,debt_consolidation,18.15,Aug-1990,11.0,0.0,5852.0,74.1,32.0,f,Individual,4.0,0.0,346xx,FL,  Borrower added on 03/08/14 > We are trying to get out from under our high interest debt. Consolidating will make this possible for us to finally put together an emergency fund.<br>
15600.0, 36 months,19.22,573.58,D,D4,OWN,150000.0,Not Verified,2013-12-01,1,debt_consolidation,3.56,Feb-2008,9.0,0.0,12783.0,63.9,12.0,f,Individual,0.0,0.0,070xx,NJ,"  Borrower added on 12/18/13 > I don't like having debt spread out over different cards. I'd like to have it all in one place so it is much easier to keep track of. I have never missed a single credit card payment, and thankfully I have a great job.<br>"
13000.0, 36 months,7.9,406.78,A,A4,MORTGAGE,86000.0,Not Verified,2012-11-01,1,debt_consolidation,15.45,Jan-1985,9.0,0.0,36191.0,52.6,12.0,f,Individual,0.0,0.0,211xx,MD,  Borrower added on 10/24/12 > Debt consolidation<br>
7125.0, 36 months,17.99,257.56,D,D2,RENT,51456.0,Source Verified,2012-07-01,0,debt_consolidation,11.68,Feb-2007,9.0,0.0,5102.0,77.3,11.0,f,Individual,0.0,0.0,937xx,CA,  Borrower added on 06/21/12 > I purchased my current vehicle at a very high APR due to having no credit history.I currently have good credit with not late payments. I tried refinancing but the balance on the loan is too low.<br>
24250.0, 36 months,7.62,755.67,A,A3,MORTGAGE,49000.0,Verified,2012-05-01,1,credit_card,6.49,Nov-1986,8.0,0.0,33081.0,62.1,20.0,f,Individual,0.0,0.0,708xx,LA,  Borrower added on 04/19/12 > Refinance credit card debt<br>
10000.0, 36 months,9.76,321.55,B,B1,RENT,80000.0,Not Verified,2012-05-01,1,debt_consolidation,23.15,Nov-2001,9.0,0.0,15690.0,76.9,17.0,f,Individual,0.0,0.0,936xx,CA,"  Borrower added on 04/23/12 > I am using this loan to pay off my previous Lending Club loan and lower my interest rate and payments. I have made 14 on time payments to my original loan of $14,400.<br>"
10000.0, 36 months,6.03,304.36,A,A1,RENT,100000.0,Source Verified,2013-10-01,1,debt_consolidation,9.46,Dec-2001,7.0,0.0,13564.0,27.6,16.0,f,Individual,0.0,0.0,907xx,CA,"  Borrower added on 10/07/13 > I am going to put all the fund from my American Express, Wells Fargo Visa &amp; Citi Mastercard to the loan so I have 1 payment instead of 3 and elimate the credit card debt to a fixed loan.<br>"
13575.0, 36 months,18.25,492.48,D,D3,MORTGAGE,72000.0,Verified,2012-03-01,1,debt_consolidation,13.35,Sep-1998,9.0,0.0,16528.0,73.5,24.0,f,Individual,,0.0,919xx,CA,"  Borrower added on 02/25/12 > Hello investors, I am here today in attemp to consolidate some of my debt which is three citibank credit cards to knock out the higher rates and go down to a single payment which the rate is lower. Thank You for time.<br>"
12000.0, 36 months,9.71,385.58,B,B1,MORTGAGE,135000.0,Not Verified,2013-09-01,1,credit_card,8.77,May-1980,10.0,0.0,2527.0,29.7,28.0,f,Individual,4.0,0.0,902xx,CA,  Borrower added on 09/05/13 > Consolidate credit card and portion for home sewer repair line project<br>
12000.0, 36 months,10.16,388.11,B,B1,RENT,50000.0,Verified,2013-01-01,1,credit_card,10.81,Jan-1999,6.0,0.0,17139.0,51.3,26.0,f,Individual,0.0,0.0,805xx,CO,  Borrower added on 12/11/12 > Got myself into debt by borrowing way over my head going through college.  Just need a way to start negotiating with credit card company's to reduce amounts and pay them in full.  Time to buckle down and alleviate debt burden that I've been carrying for the past several years.<br>
20000.0, 36 months,10.99,654.68,B,B2,MORTGAGE,75000.0,Source Verified,2014-01-01,1,debt_consolidation,17.38,Jan-2004,10.0,0.0,23625.0,73.8,17.0,f,Individual,2.0,0.0,276xx,NC,"  Borrower added on 01/19/14 > I've got three monthly payments that if I consolidate, I will be able to save $300 in monthly payments and reduce the overall cost of repaying the separate bills at the higher interest rates.<br>"
23550.0, 36 months,18.55,857.91,D,D4,MORTGAGE,115000.0,Verified,2012-02-01,1,debt_consolidation,21.29,Dec-1998,11.0,0.0,29512.0,78.1,27.0,f,Individual,,0.0,077xx,NJ,  Borrower added on 02/10/12 > credit card consolidation<br><br> Borrower added on 02/10/12 > credit card consolidation<br>
23000.0, 36 months,14.09,787.1,B,B5,RENT,52416.0,Verified,2012-12-01,1,debt_consolidation,15.64,Jul-1993,7.0,0.0,24877.0,61.6,10.0,f,Individual,0.0,0.0,941xx,CA,  Borrower added on 12/17/12 > I will use the loan to pay off credit card debt. I am glad to pay off debt at a reasonable interest rate.<br>
5700.0, 36 months,12.12,189.65,B,B3,RENT,22000.0,Verified,2013-06-01,1,credit_card,30.33,Feb-2003,8.0,0.0,15787.0,72.8,19.0,f,Individual,0.0,0.0,631xx,MO,  Borrower added on 06/03/13 > Pay off credit card with interest rates at 29%<br>
6500.0, 36 months,17.77,234.25,D,D1,MORTGAGE,70000.0,Not Verified,2012-12-01,1,debt_consolidation,13.08,Nov-2003,15.0,0.0,10116.0,55.3,23.0,f,Individual,2.0,0.0,810xx,CO,  Borrower added on 12/04/12 > I am planning to use the loan to pay off credit cards that all have a much higher APR.<br><br> Borrower added on 12/04/12 > I am looking for a small loan to pay off my credit cards that have much higher interest rates.  This in the long run will hopefully help me to be more able to refinance my current mortgage.  I hope you find that I am of good credit worthiness.  Thank you for your time in reviewing my application.<br>
35000.0, 36 months,17.56,1257.63,D,D1,MORTGAGE,150000.0,Verified,2013-08-01,1,debt_consolidation,25.06,Jul-2000,17.0,0.0,58986.0,63.6,38.0,w,Individual,3.0,0.0,789xx,TX,  Borrower added on 07/31/13 > Pay off Credit Cards<br>
12500.0, 36 months,13.11,421.84,B,B4,RENT,84885.0,Verified,2013-03-01,1,debt_consolidation,11.65,Oct-1990,7.0,0.0,1444.0,11.2,28.0,w,Individual,4.0,0.0,712xx,LA,  Borrower added on 02/28/13 > Payoff high rate loan with Wells Fargo which is currently 24.99%.<br>
24000.0, 36 months,14.47,825.76,C,C2,MORTGAGE,90000.0,Verified,2014-02-01,1,credit_card,3.03,Jun-1998,6.0,0.0,6918.0,43.8,17.0,f,Individual,4.0,0.0,922xx,CA,"  Borrower added on 02/06/14 > To pay off credit cards and one personal loan, and be able to pay the debt with a lower interest rate.<br>"
20000.0, 36 months,6.03,608.72,A,A1,MORTGAGE,104000.0,Verified,2012-12-01,1,home_improvement,3.21,Jan-2002,9.0,0.0,97.0,0.4,14.0,f,Individual,1.0,0.0,113xx,NY,"  Borrower added on 12/06/12 > My wife and I live in a CO-OP in NYC in which we have over 70% equity, but it's difficult to get a HELOC on a CO-OP. So while looking for other funding alternatives we found Lending Club and decided to give it a try. We renovated our kitchen two years ago, now we would like to redo the bathrooms.<br>"
7275.0, 36 months,14.47,250.31,C,C2,RENT,60000.0,Source Verified,2014-02-01,0,debt_consolidation,18.56,Jul-2000,10.0,1.0,4466.0,56.5,38.0,f,Individual,3.0,0.0,320xx,FL,"  Borrower added on 01/30/14 > I'd like to pay off my (higher interest) credit card debt, and have just the one payment to be made each month on the debt service until paying it all off.<br>"
3000.0, 36 months,16.24,105.83,C,C5,RENT,24000.0,Verified,2014-02-01,1,medical,15.2,Dec-1996,6.0,0.0,6951.0,91.5,7.0,f,Individual,0.0,0.0,288xx,NC,  Borrower added on 02/06/14 > I need a lot of dental work to prepare my mouth for dentures.I have some insurance that will help but total for the work will be around 5K<br>
11325.0, 36 months,9.71,363.89,B,B1,MORTGAGE,42000.0,Verified,2013-07-01,1,debt_consolidation,19.71,Sep-1999,8.0,0.0,16978.0,88.0,28.0,w,Individual,1.0,0.0,334xx,FL,  Borrower added on 07/09/13 > This loan will take care of the rest of my Credit Card debt. I have been consistently working on ridding myself from Credit cards. I am looking forward to becoming a lender with Lending Club myself in the future. <br>-Thank you for your consideration<br>
20000.0, 36 months,13.98,683.36,C,C1,RENT,70000.0,Verified,2013-12-01,1,debt_consolidation,23.45,Oct-2003,13.0,0.0,12972.0,87.6,24.0,w,Individual,0.0,0.0,600xx,IL,  Borrower added on 12/29/13 > I have credit cards with high interest and a loan with 36% interest from a different company which I took out for a surgery. I would like to pay those off and work to improve my credit.<br>
22250.0, 36 months,8.9,706.51,A,A5,MORTGAGE,56000.0,Source Verified,2012-08-01,1,home_improvement,12.28,Feb-1998,21.0,1.0,4117.0,18.6,40.0,f,Individual,1.0,1.0,853xx,AZ,  Borrower added on 07/28/12 > I am applying for this loan in order to landscape my home.<br><br> Borrower added on 07/28/12 > I am applying for this loan in order to landscape my home.<br><br> Borrower added on 07/28/12 > This loan will be used to landscape my backyard and build a pool.<br><br> Borrower added on 07/29/12 > This loan will bee used to landscape and build a pool.<br>
15000.0, 60 months,14.98,356.7,C,C3,RENT,47000.0,Verified,2014-02-01,0,debt_consolidation,15.19,Aug-1988,9.0,0.0,14583.0,84.3,25.0,f,Individual,0.0,0.0,212xx,MD,  Borrower added on 01/28/14 > I would like to consolidate outstanding personal loans. In addition I am currently living with a friend and would like to have my own apartment. Consolidating my debt and having enough for security deposits will help facilitate that process.<br>
7000.0, 36 months,12.49,234.15,B,B4,MORTGAGE,80000.0,Not Verified,2014-03-01,1,debt_consolidation,20.28,Dec-1997,14.0,1.0,9501.0,46.3,28.0,f,Individual,4.0,1.0,750xx,TX,  Borrower added on 03/01/14 > I have two high interest credit cards I want to zero out and pay one bill per month at a lower interest rate.<br>
12000.0, 60 months,18.75,309.64,D,D3,RENT,39000.0,Verified,2012-07-01,0,debt_consolidation,19.02,Aug-2000,9.0,0.0,8176.0,56.0,21.0,f,Individual,0.0,0.0,060xx,CT,"  Borrower added on 06/27/12 > I am using this loan as a consolidation. I am going to pay off credit cards, doctor bills and my car so I can have 1 easy monthly pymt and save money. The only reason why I have credit card amounts now because I was laid off last year. I am now at a very stable job and on my way to being debt free.<br>"
10800.0, 60 months,15.81,261.55,C,C4,MORTGAGE,45120.0,Verified,2012-03-01,1,debt_consolidation,24.31,Aug-2001,9.0,0.0,8022.0,68.0,20.0,f,Individual,,0.0,935xx,CA,"  Borrower added on 03/05/12 > plan to get rid of bills to help my daughter who is going through a divorce.  I make sure my bills get paid.  Pay bills off the top and use rest for food, gas!!!!!, extras in that order.  I have a dedicated run every week from California to New Jersey.<br>"
7925.0, 36 months,18.49,288.46,D,D2,RENT,31000.0,Not Verified,2012-08-01,1,debt_consolidation,13.47,Oct-2000,10.0,0.0,8983.0,73.0,20.0,f,Individual,0.0,0.0,301xx,GA,  Borrower added on 08/09/12 > I have been employed at the same company for 10 years. I do have many credit cards but I always pay my montly payments. I have never missed a payment. This loan will pay off my debt is a smaller time frame than if I paid the companys. I am just needing a little help to be back on track<br>
24000.0, 60 months,12.85,544.24,B,B4,MORTGAGE,63000.0,Source Verified,2013-12-01,1,debt_consolidation,13.54,Jun-1974,15.0,0.0,21127.0,56.9,47.0,f,Individual,4.0,0.0,775xx,TX,  Borrower added on 12/06/13 > debt consolidation<br>
16000.0, 60 months,22.95,450.59,F,F1,MORTGAGE,77459.2,Verified,2012-08-01,0,debt_consolidation,24.96,Feb-2001,11.0,0.0,17843.0,97.5,26.0,f,Individual,1.0,0.0,197xx,DE,  Borrower added on 07/28/12 > This loan is a credit card consolidation loan. It will allow me to budget better and pay down the debt along with cancelling the cards so I don't repeat the same mistakes. It is a challenge to manage multiple monthly payment due dates and minimum payments. I thank everyone for their consideration!<br>
5000.0, 60 months,13.67,115.49,B,B5,MORTGAGE,158000.0,Verified,2012-06-01,1,car,1.62,Aug-1984,10.0,0.0,9615.0,23.4,38.0,f,Individual,11.0,0.0,956xx,CA,"  Borrower added on 06/05/12 > I was initially getting pre-approved to buy a motorcycle for up to $5,000.  But I got a great deal on ebay for under $3,000 so I would like to use the balance of the loan to pay off a high interest credit card.  Thank you.<br>"
8875.0, 36 months,14.09,303.72,B,B5,RENT,35000.0,Not Verified,2013-04-01,1,debt_consolidation,20.46,Oct-1988,13.0,0.0,9899.0,38.5,23.0,f,Individual,0.0,0.0,306xx,GA,  Borrower added on 03/26/13 > consolidation of credit cards to make one payment<br>
12000.0, 36 months,16.2,423.08,C,C4,MORTGAGE,95000.0,Source Verified,2013-10-01,1,debt_consolidation,14.41,Aug-2001,7.0,1.0,3153.0,92.7,30.0,f,Individual,7.0,1.0,356xx,AL,"  Borrower added on 10/03/13 > I have about $7,000 in credit card debt that I can not seem to get paid down.  I make the monthly payments but get nowwhere.  I also have about $2000 in medical bills that I would like to knock out.  With the remaining money I intend to purchase cattle to put out on my property.<br>"
3000.0, 36 months,18.49,109.2,D,D2,RENT,30000.0,Source Verified,2013-04-01,1,credit_card,10.45,Jan-2001,9.0,0.0,6782.0,94.2,15.0,f,Individual,0.0,0.0,923xx,CA,  Borrower added on 04/03/13 > i need the loan to off on one of mt credit cards. the interest is 32%.<br><br> Borrower added on 04/03/13 > i would like to pay off on one of my credit one which has a high interest rate.<br><br> Borrower added on 04/03/13 > the reason why i need this loan is because on credit card i have it high. i had the card for a long time and pay all my bills on time and would lie very much to get a loan from your company. this would let me pay it off and finally close this account. i hope you can help me with this  concern thanks<br><br> Borrower added on 04/03/13 > the reason why i need this loan is because on credit card i have it high. i had the card for a long time and pay all my bills on time and late. i would lie very much to get a loan from your company. this would let me pay it off and finally close this account. i hope you can help me with this  matter<br>
10525.0, 36 months,13.98,359.62,C,C1,MORTGAGE,39000.0,Verified,2014-01-01,0,debt_consolidation,31.23,Mar-1998,17.0,1.0,6888.0,23.5,44.0,f,Individual,2.0,1.0,410xx,KY,  Borrower added on 01/23/14 > Pay off credit cards and a small loan.  Any funds left over will pay off smaller bills.<br>
3250.0, 36 months,17.27,116.31,C,C5,MORTGAGE,35500.0,Not Verified,2013-02-01,1,debt_consolidation,6.05,May-2000,6.0,1.0,3766.0,45.9,11.0,w,Individual,3.0,1.0,658xx,MO,  Borrower added on 02/08/13 > Consolidation of high rate credit cards.<br>
5000.0, 36 months,12.99,168.45,B,B4,RENT,44000.0,Source Verified,2013-10-01,1,debt_consolidation,18.87,Nov-2005,6.0,1.0,4579.0,47.2,10.0,f,Individual,0.0,1.0,802xx,CO,"  Borrower added on 09/25/13 > I'd like to pay a couple of credit cards off and pay on a couple of other bills, and purchase new tires for my car<br>"
8000.0, 36 months,13.67,272.15,B,B5,RENT,27000.0,Not Verified,2013-11-01,0,debt_consolidation,12.71,Nov-2000,12.0,0.0,7216.0,28.4,26.0,f,Individual,0.0,0.0,126xx,NY,"  Borrower added on 11/18/13 > Pay off debts,tired of paying for years and still not free of debt.one loan will be easy to both clear my self of cc debt and to repay loan.<br>"
6250.0, 36 months,13.68,212.65,C,C1,MORTGAGE,47283.0,Verified,2013-08-01,0,debt_consolidation,31.29,Jun-1982,20.0,0.0,10989.0,43.4,32.0,f,Individual,3.0,0.0,331xx,FL,"  Borrower added on 08/12/13 > create one billing statement a month<br><br> Borrower added on 08/12/13 > pay down credit cards<br><br> Borrower added on 08/12/13 > i plan on paying off credit card balnces, my car insurance for the year and saving  money with one payment as opposed to several payments with varying rates.<br>"
6000.0, 36 months,21.0,226.06,E,E2,RENT,32000.0,Not Verified,2012-12-01,0,wedding,21.26,Feb-1996,5.0,0.0,6596.0,55.9,10.0,f,Individual,0.0,0.0,853xx,AZ,  Borrower added on 12/09/12 > I plan to use any loan I receive to help cover the cost of my wedding. This is a first time wedding for both me and my fiance and we would like to make it memorable but not extravagant.<br>
10000.0, 36 months,11.14,328.06,B,B2,MORTGAGE,162000.0,Not Verified,2013-01-01,1,credit_card,11.87,Jun-1984,9.0,0.0,26970.0,80.1,29.0,f,Individual,7.0,0.0,303xx,GA,"  Borrower added on 01/12/13 > To pay off an emergency credit card line of credit used to help a friend with tuition for his final semester of a Master's program at Georgia State.  This credit card charges 26%, and I hope to do better!<br>"
10000.0, 36 months,13.11,337.47,B,B4,MORTGAGE,38600.0,Source Verified,2013-06-01,1,debt_consolidation,12.99,Oct-1999,5.0,0.0,4510.0,83.5,14.0,f,Individual,0.0,0.0,550xx,MN,  Borrower added on 05/17/13 > to get rid of high interest credit cards and to make a one small loan payment instead of many much easier.<br>
