addr_state,annual_inc,application_type,desc,dti,earliest_cr_line,grade,home_ownership,initial_list_status,installment,int_rate,issue_d,loan_amnt,loan_status,mort_acc,open_acc,pub_rec,pub_rec_bankruptcies,purpose,revol_bal,revol_util,sub_grade,term,total_acc,verification_status,zip_code
FL,42000.0,Individual,  Borrower added on 10/14/13 > home improvement<br><br> Borrower added on 10/14/13 > home improvement<br>,26.09,Jun-2006,C,OWN,w,435.13,15.1,2013-11-01,18250.0,1,0.0,11.0,0.0,0.0,home_improvement,22251.0,57.9,C2, 60 months,19.0,Verified,331xx
TX,24000.0,Individual,  Borrower added on 01/08/13 > I need the loan to pay some of the amount that I owe in cerdict cards<br><br> Borrower added on 01/08/13 > The past two years have been really financially hard for me. I didn't have enough money to buy the things I needed.Everything I bough I put it on credit cards.This year I think is going to be better and I also need to pay my credit cards so I hope you can help me do that.<br>,22.8,2001-03-01,C,RENT,w,214.73,17.27,2013-01-01,6000.0,1,2.0,11.0,0.0,0.0,debt_consolidation,14096.0,59.5,C5, 36 months,24.0,Not Verified,774xx
MD,180000.0,Individual,  Borrower added on 03/18/13 > Debt consolidation and moving expenses<br>,29.29,Sep-1993,D,RENT,f,1261.3,17.77,2013-03-01,35000.0,0,2.0,14.0,0.0,0.0,debt_consolidation,40003.0,86.6,D1, 36 months,45.0,Verified,206xx
UT,75000.0,Individual,  Borrower added on 12/16/12 > Im trying to consolidate credit card debt<br>,21.17,1996-05-01,C,MORTGAGE,f,599.96,17.27,2012-12-01,24000.0,0,3.0,12.0,0.0,0.0,credit_card,19937.0,58.8,C5, 60 months,31.0,Verified,840xx
AZ,135000.0,Individual,  Borrower added on 04/22/13 > We want to get out from under the +20% APR's of the credit card companies and be back on the path to financial freedom.  Thank you all for your help!<br>,14.94,1995-11-01,B,MORTGAGE,f,809.93,13.11,2013-05-01,24000.0,1,2.0,13.0,0.0,0.0,credit_card,131363.0,87.1,B4, 36 months,26.0,Source Verified,852xx
AZ,32000.0,Individual,  Borrower added on 12/09/12 > I plan to use any loan I receive to help cover the cost of my wedding. This is a first time wedding for both me and my fiance and we would like to make it memorable but not extravagant.<br>,21.26,Feb-1996,E,RENT,f,226.06,21.0,2012-12-01,6000.0,0,0.0,5.0,0.0,0.0,wedding,6596.0,55.9,E2, 36 months,10.0,Not Verified,853xx
LA,48500.0,Individual,  Borrower added on 04/23/13 > We purchased a home (our first).  We used credit cards to buy things that we needed like a refridgerator and such.  I know that I will be paying on these card forever.  I really need some help.  My son is graduating next year and hate not to be able to have him have a great senior year.<br>,30.41,1999-05-01,D,MORTGAGE,f,359.26,18.49,2013-05-01,14000.0,0,1.0,13.0,0.0,0.0,debt_consolidation,11601.0,80.6,D2, 60 months,31.0,Verified,704xx
FL,26000.0,Individual,  Borrower added on 01/02/14 > To pay off high intrest credit cards<br>,14.82,2000-03-01,B,RENT,f,332.1,11.99,2014-01-01,10000.0,0,2.0,5.0,1.0,1.0,credit_card,11222.0,92.7,B3, 36 months,12.0,Source Verified,344xx
PA,47000.0,Individual,"  Borrower added on 08/10/12 > I am paying high interest in credit cards. If granted, your loan will help me to consolidate my debt into one single account with lower interest. I want to be debt free soon.<br>",21.07,Jun-2005,C,RENT,f,254.17,16.29,2012-08-01,7200.0,0,0.0,14.0,0.0,0.0,debt_consolidation,17440.0,51.5,C4, 36 months,18.0,Not Verified,191xx
IN,15500.0,Individual,  Borrower added on 07/01/13 > Debt consolidation.<br>,20.04,Dec-2006,D,OWN,f,159.9,17.56,2013-07-01,4450.0,0,0.0,5.0,0.0,0.0,debt_consolidation,9311.0,88.7,D1, 36 months,9.0,Verified,462xx
KY,39000.0,Individual,  Borrower added on 01/23/14 > Pay off credit cards and a small loan.  Any funds left over will pay off smaller bills.<br>,31.23,Mar-1998,C,MORTGAGE,f,359.62,13.98,2014-01-01,10525.0,0,2.0,17.0,1.0,1.0,debt_consolidation,6888.0,23.5,C1, 36 months,44.0,Verified,410xx
AZ,56000.0,Individual,  Borrower added on 07/28/12 > I am applying for this loan in order to landscape my home.<br><br> Borrower added on 07/28/12 > I am applying for this loan in order to landscape my home.<br><br> Borrower added on 07/28/12 > This loan will be used to landscape my backyard and build a pool.<br><br> Borrower added on 07/29/12 > This loan will bee used to landscape and build a pool.<br>,12.28,Feb-1998,A,MORTGAGE,f,706.51,8.9,2012-08-01,22250.0,1,1.0,21.0,1.0,1.0,home_improvement,4117.0,18.6,A5, 36 months,40.0,Source Verified,853xx
GA,27000.0,Individual,  Borrower added on 09/30/13 > I want this loan to pay may credit cards and my doctors bill. I dont want to still paying high  interest.<br>,19.33,Oct-2005,C,MORTGAGE,f,330.42,15.61,2013-10-01,9450.0,1,1.0,9.0,0.0,0.0,other,6166.0,49.7,C3, 36 months,19.0,Source Verified,305xx
KY,33176.0,Individual,  Borrower added on 10/04/13 > To pay off credit card debt<br>,15.99,Jan-1997,B,OWN,w,261.09,13.67,2013-10-01,7675.0,0,0.0,15.0,0.0,0.0,debt_consolidation,10870.0,28.2,B5, 36 months,23.0,Not Verified,402xx
FL,46000.0,Individual,  Borrower added on 12/30/13 > to pay my credicards deb<br>,11.27,Oct-1996,A,RENT,w,560.91,7.62,2013-12-01,18000.0,1,2.0,12.0,0.0,0.0,credit_card,15950.0,38.1,A3, 36 months,25.0,Not Verified,333xx
MN,38600.0,Individual,  Borrower added on 05/17/13 > to get rid of high interest credit cards and to make a one small loan payment instead of many much easier.<br>,12.99,Oct-1999,B,MORTGAGE,f,337.47,13.11,2013-06-01,10000.0,1,0.0,5.0,0.0,0.0,debt_consolidation,4510.0,83.5,B4, 36 months,14.0,Source Verified,550xx
NY,27000.0,Individual,"  Borrower added on 11/18/13 > Pay off debts,tired of paying for years and still not free of debt.one loan will be easy to both clear my self of cc debt and to repay loan.<br>",12.71,Nov-2000,B,RENT,f,272.15,13.67,2013-11-01,8000.0,0,0.0,12.0,0.0,0.0,debt_consolidation,7216.0,28.4,B5, 36 months,26.0,Not Verified,126xx
OH,40000.0,Individual,"  Borrower added on 04/14/13 > I've learned a lot about the revolving debt I've been paying on these last ten years, and this loan could help me pay off my credit debt sooner than at the rate I am going today.  Please help me reach financial freedom quicker, so I can invest more into my family and retirement. Thank you!<br>",19.39,2003-08-01,B,MORTGAGE,f,376.81,12.12,2013-04-01,11325.0,0,1.0,11.0,0.0,0.0,credit_card,14726.0,71.5,B3, 36 months,23.0,Not Verified,447xx
AR,40000.0,Individual,  Borrower added on 06/22/13 > Debt payoff only and be debt free..and cut up credit cards<br>,7.38,1997-04-01,B,RENT,f,286.61,10.64,2013-07-01,8800.0,1,1.0,13.0,1.0,1.0,debt_consolidation,6459.0,37.6,B2, 36 months,23.0,Not Verified,722xx
OH,85000.0,Individual,  Borrower added on 03/18/14 > To pay off high interest credit cards<br>,14.06,Nov-1992,C,MORTGAGE,w,342.56,14.16,2014-03-01,10000.0,1,2.0,13.0,0.0,0.0,debt_consolidation,12061.0,69.0,C2, 36 months,24.0,Not Verified,431xx
VA,100000.0,Individual,  Borrower added on 12/07/13 > Pay off old credit card debt. Plan buying a house.<br>,6.44,2000-09-01,B,OWN,f,481.69,9.67,2013-12-01,15000.0,1,0.0,5.0,0.0,0.0,debt_consolidation,14908.0,69.0,B1, 36 months,17.0,Not Verified,230xx
CA,42000.0,Individual,"  Borrower added on 05/13/13 > Please help me become debt free.  With this loan, I will consolidate high interest credit cards to one affordable payment and be debt free.  I am a full-time employee moving up within my company, with a good credit score, and I never miss payments.  Thank you for your consideration.<br>",33.66,2001-07-01,C,RENT,f,424.97,17.27,2013-05-01,17000.0,1,0.0,15.0,0.0,0.0,credit_card,11707.0,42.3,C5, 60 months,24.0,Verified,916xx
PA,101000.0,Individual,  Borrower added on 10/27/12 > I am trying to consolidate debt so that payments become more manageable. I so appreciate your help.<br>,16.08,1998-03-01,B,MORTGAGE,f,319.41,12.12,2012-11-01,9600.0,1,4.0,19.0,0.0,0.0,debt_consolidation,24415.0,49.9,B3, 36 months,43.0,Not Verified,191xx
MN,40000.0,Individual,  Borrower added on 01/30/13 > Just trying to eliminate high interest credit card bills and medical debt from my sick wifes hospital visits.<br>,20.94,Jan-2006,C,MORTGAGE,w,420.71,15.8,2013-02-01,12000.0,0,2.0,8.0,0.0,0.0,debt_consolidation,14547.0,87.1,C3, 36 months,11.0,Verified,550xx
WA,32000.0,Individual,  Borrower added on 03/13/14 > To pay off a credit card that has a 24% interest charge. Will help free up a little bit of spending money.<br>,9.79,Oct-1997,B,MORTGAGE,f,81.84,10.99,2014-03-01,2500.0,1,8.0,7.0,1.0,1.0,credit_card,2947.0,20.5,B2, 36 months,30.0,Source Verified,980xx
CA,51456.0,Individual,  Borrower added on 06/21/12 > I purchased my current vehicle at a very high APR due to having no credit history.I currently have good credit with not late payments. I tried refinancing but the balance on the loan is too low.<br>,11.68,Feb-2007,D,RENT,f,257.56,17.99,2012-07-01,7125.0,0,0.0,9.0,0.0,0.0,debt_consolidation,5102.0,77.3,D2, 36 months,11.0,Source Verified,937xx
CA,120000.0,Individual,  Borrower added on 03/07/13 > I'd like to pay off my high interest credit card debt<br>,9.53,Jan-2005,B,RENT,f,485.14,10.16,2013-03-01,15000.0,1,0.0,8.0,0.0,0.0,credit_card,8142.0,84.8,B1, 36 months,13.0,Source Verified,900xx
CA,46562.0,Individual,"  Borrower added on 11/10/12 > A family member lost their job, so I stepped up to help him using the only thing I had available, my credit. Now my credit score is dropping and my interest rates are sky high. It's time I take charge of this before it ruins my credit.<br>",18.95,2006-07-01,B,RENT,w,282.81,12.12,2012-11-01,8500.0,0,0.0,15.0,0.0,0.0,debt_consolidation,6653.0,81.1,B3, 36 months,21.0,Verified,932xx
OH,64500.0,Individual,"  Borrower added on 04/24/13 > Credit Card refinance, debt consolidation.  Don't seem to get ahead by making over minimum payments on credit cards.  Something keeps coming up that puts me further behind.<br>",17.82,Aug-1982,C,MORTGAGE,w,431.16,15.31,2013-05-01,18000.0,1,1.0,11.0,0.0,0.0,credit_card,15040.0,64.0,C2, 60 months,18.0,Verified,442xx
KS,100000.0,Individual,  Borrower added on 04/06/13 > Debt consolidation<br>,15.42,1994-07-01,E,MORTGAGE,f,811.61,21.0,2013-04-01,30000.0,0,1.0,11.0,0.0,0.0,debt_consolidation,10019.0,63.8,E2, 60 months,47.0,Verified,666xx
FL,100000.0,Individual,  Borrower added on 12/11/12 > CREDIT CARD DEBT REFINANCE<br>,8.75,Feb-1998,A,MORTGAGE,f,486.97,6.03,2012-12-01,16000.0,0,5.0,10.0,0.0,0.0,credit_card,20199.0,34.4,A1, 36 months,46.0,Verified,341xx
WA,64942.0,Individual,  Borrower added on 03/19/12 > New PhD paying down student debt.<br>,19.75,Nov-1997,A,RENT,f,368.45,6.62,2012-03-01,12000.0,1,0.0,17.0,0.0,0.0,debt_consolidation,20898.0,45.4,A2, 36 months,39.0,Not Verified,981xx
GA,37000.0,Individual,  Borrower added on 03/26/13 > I want to consolidate all my credit cards and doctor bills into one monthly payment. I feel it will save me alot of interest on the credit cards. I would also like to paint the inside of my house and landscape my yard.<br>,30.56,2002-11-01,E,MORTGAGE,f,458.74,22.47,2013-04-01,16450.0,0,1.0,12.0,1.0,1.0,debt_consolidation,15039.0,36.4,E5, 60 months,20.0,Verified,302xx
CA,83440.0,Individual,  Borrower added on 11/23/12 > to pay off credit card debt<br>,16.96,1990-04-01,B,MORTGAGE,f,229.64,11.14,2012-12-01,7000.0,1,5.0,14.0,0.0,0.0,debt_consolidation,8364.0,70.9,B2, 36 months,31.0,Not Verified,952xx
FL,50000.0,Individual,  Borrower added on 09/26/12 > to pay off some bills and finish my bathroom.<br>,22.49,2000-09-01,E,MORTGAGE,f,552.16,21.98,2012-10-01,20000.0,0,0.0,6.0,0.0,0.0,debt_consolidation,9576.0,37.4,E4, 60 months,16.0,Verified,336xx
TX,58800.0,Individual,  Borrower added on 12/26/12 > Consolidation of two high interest rate credit cards.<br><br>  Borrower added on 12/27/12 > Consolidating two credit card balances with high interest rates of 25.99% into the rate offered by Lending Club Corp. at 16.29%.<br>,15.33,Jun-2002,C,RENT,f,324.77,16.29,2013-01-01,9200.0,0,0.0,6.0,0.0,0.0,debt_consolidation,14792.0,95.4,C4, 36 months,16.0,Source Verified,752xx
CO,140000.0,Individual,  Borrower added on 01/21/13 > I have been eliminating these credit cards at the rate of $1200 per month so this loan should be no problem with the lower interest rate.<br>,6.23,1996-10-01,A,MORTGAGE,f,623.46,7.9,2013-02-01,19925.0,1,2.0,14.0,0.0,0.0,credit_card,22959.0,82.3,A4, 36 months,24.0,Not Verified,800xx
CA,100000.0,Individual,"  Borrower added on 10/16/13 > I will be putting new floors and paint and furniture in the home I own, in addition to paying off a credit card.<br>",7.53,Feb-2002,C,MORTGAGE,w,498.13,17.1,2013-10-01,20000.0,1,4.0,9.0,0.0,0.0,home_improvement,7585.0,28.3,C5, 60 months,39.0,Source Verified,957xx
AZ,95000.0,Individual,  Borrower added on 09/16/12 > This is to pay off 2 of my 4 credit cards including the largest at Wells Fargo that is about 10500.00. The other will pay Capital One off which is about 6500.00. I have only one other unamed card with a 0.00 balance on 2500.00 at Home Depot (Citibank).<br>,8.01,Jan-1993,C,MORTGAGE,f,609.31,15.31,2012-09-01,17500.0,1,5.0,6.0,0.0,0.0,credit_card,27195.0,75.5,C2, 36 months,25.0,Not Verified,856xx
SD,45000.0,Individual,  Borrower added on 08/24/12 > I want to do away with individual payments. 3 separate one right now. Get rid of my credit cards and make one payment a month.  I would like to pay it off early if possible.  I have a plan I hope it works as far as me getting my loan. I am a single mom. And just want to make things easier for us.<br><br> Borrower added on 08/25/12 > It is to consolidate 4 bills (credit cards). By doing this I can actually close the accounts. Stop using them. Have one payment not 4 and a n actually pay off date. This will allow more money a month to put into savings also.<br><br>  Borrower added on 08/27/12 > I hope if anyone has any more questions they will ask. I will answer any question. I just need some assistance to make this loan work. Ask whatever you need. Thanks for your consideration.<br><br>  Borrower added on 08/28/12 > I did some research into my interest rates. They are horrible 2 cards at 29.99% and 1 at 19.99% . One loan I pay 316.00 everytime two weeks for a yr on 2200.00 figure that rate out. I really made a mistake on that one. Please help. Thanks again.<br>,16.91,2004-03-01,D,MORTGAGE,f,432.45,17.77,2012-09-01,12000.0,1,1.0,7.0,0.0,0.0,debt_consolidation,9409.0,68.2,D1, 36 months,35.0,Not Verified,577xx
CA,36000.0,Individual,  Borrower added on 10/23/12 > I realized I really need to get fiancially straight and consolidate the rest of my debt to be secure for my family.<br>,29.13,Aug-2002,C,RENT,w,219.35,15.31,2012-11-01,6300.0,0,0.0,11.0,0.0,0.0,debt_consolidation,15017.0,55.6,C2, 36 months,23.0,Verified,945xx
MD,47000.0,Individual,  Borrower added on 01/28/14 > I would like to consolidate outstanding personal loans. In addition I am currently living with a friend and would like to have my own apartment. Consolidating my debt and having enough for security deposits will help facilitate that process.<br>,15.19,Aug-1988,C,RENT,f,356.7,14.98,2014-02-01,15000.0,0,0.0,9.0,0.0,0.0,debt_consolidation,14583.0,84.3,C3, 60 months,25.0,Verified,212xx
CA,46970.0,Individual,  Borrower added on 02/05/14 > I would like to pay off some bills with high interest rates.<br>,22.36,1989-09-01,C,RENT,f,173.28,14.98,2014-03-01,5000.0,1,0.0,16.0,0.0,0.0,credit_card,12450.0,37.7,C3, 36 months,33.0,Verified,940xx
FL,60000.0,Individual,"  Borrower added on 01/30/14 > I'd like to pay off my (higher interest) credit card debt, and have just the one payment to be made each month on the debt service until paying it all off.<br>",18.56,Jul-2000,C,RENT,f,250.31,14.47,2014-02-01,7275.0,0,3.0,10.0,1.0,0.0,debt_consolidation,4466.0,56.5,C2, 36 months,38.0,Source Verified,320xx
TX,58000.0,Individual,"  Borrower added on 05/03/13 > HOUSEHOLD UPTAKE; CREDIT CARD PAYMENT<br><br> Borrower added on 05/03/13 > household uptake,  credit card payment<br>",24.08,1995-01-01,D,RENT,f,821.65,17.77,2013-05-01,22800.0,1,0.0,10.0,0.0,0.0,other,11501.0,42.8,D1, 36 months,17.0,Verified,770xx
OK,50000.0,Individual,  Borrower added on 02/13/14 > To pay off credit cards<br>,18.29,Jan-2003,D,OWN,w,452.89,17.57,2014-02-01,18000.0,0,0.0,3.0,0.0,0.0,credit_card,30518.0,83.2,D2, 60 months,7.0,Verified,731xx
AZ,35000.0,Individual,  Borrower added on 08/14/12 > I want to pay off a credit card that has a 0% interest rate that is about to expire before the rate goes sky high.<br>,18.21,1989-09-01,A,MORTGAGE,f,219.82,7.9,2012-09-01,7025.0,1,3.0,10.0,0.0,0.0,credit_card,15760.0,45.0,A4, 36 months,21.0,Not Verified,850xx
AL,95000.0,Individual,"  Borrower added on 10/03/13 > I have about $7,000 in credit card debt that I can not seem to get paid down.  I make the monthly payments but get nowwhere.  I also have about $2000 in medical bills that I would like to knock out.  With the remaining money I intend to purchase cattle to put out on my property.<br>",14.41,Aug-2001,C,MORTGAGE,f,423.08,16.2,2013-10-01,12000.0,1,7.0,7.0,1.0,1.0,debt_consolidation,3153.0,92.7,C4, 36 months,30.0,Source Verified,356xx
OK,35000.0,Individual,  Borrower added on 06/28/12 > going to pay off credit card debt and live an easier life!<br><br>  Borrower added on 06/28/12 > this loan is to be completly out of debt in 3 years or less so I can put more money in my retirement account.  Thank you<br>,31.61,2000-02-01,C,OWN,f,410.19,15.8,2012-07-01,11700.0,1,0.0,17.0,0.0,0.0,credit_card,22599.0,76.9,C3, 36 months,43.0,Verified,730xx
FL,120000.0,Individual,  Borrower added on 03/27/13 > To lower my rates .<br>,13.98,1988-04-01,B,RENT,f,809.93,13.11,2013-04-01,24000.0,0,0.0,14.0,0.0,0.0,credit_card,36923.0,75.5,B4, 36 months,18.0,Source Verified,331xx
FL,47283.0,Individual,"  Borrower added on 08/12/13 > create one billing statement a month<br><br> Borrower added on 08/12/13 > pay down credit cards<br><br> Borrower added on 08/12/13 > i plan on paying off credit card balnces, my car insurance for the year and saving  money with one payment as opposed to several payments with varying rates.<br>",31.29,Jun-1982,C,MORTGAGE,f,212.65,13.68,2013-08-01,6250.0,0,3.0,20.0,0.0,0.0,debt_consolidation,10989.0,43.4,C1, 36 months,32.0,Verified,331xx
TX,150000.0,Individual,  Borrower added on 07/31/13 > Pay off Credit Cards<br>,25.06,Jul-2000,D,MORTGAGE,w,1257.63,17.56,2013-08-01,35000.0,1,3.0,17.0,0.0,0.0,debt_consolidation,58986.0,63.6,D1, 36 months,38.0,Verified,789xx
CA,50000.0,Individual,  Borrower added on 10/12/13 > To pay off credit cards and not have multiple payments. Just have one payment every month.<br>,27.53,2000-10-01,A,MORTGAGE,f,319.17,9.25,2013-10-01,10000.0,1,3.0,10.0,0.0,0.0,debt_consolidation,6204.0,19.8,A5, 36 months,18.0,Source Verified,945xx
CA,45120.0,Individual,"  Borrower added on 03/05/12 > plan to get rid of bills to help my daughter who is going through a divorce.  I make sure my bills get paid.  Pay bills off the top and use rest for food, gas!!!!!, extras in that order.  I have a dedicated run every week from California to New Jersey.<br>",24.31,Aug-2001,C,MORTGAGE,f,261.55,15.81,2012-03-01,10800.0,1,,9.0,0.0,0.0,debt_consolidation,8022.0,68.0,C4, 60 months,20.0,Verified,935xx
VA,107000.0,Individual,  Borrower added on 05/09/13 > GET OUT OF DEBT FASTER<br>,23.68,Aug-1989,C,MORTGAGE,f,646.73,15.31,2013-05-01,27000.0,0,1.0,19.0,0.0,0.0,credit_card,29616.0,45.6,C2, 60 months,46.0,Verified,223xx
DE,77459.2,Individual,  Borrower added on 07/28/12 > This loan is a credit card consolidation loan. It will allow me to budget better and pay down the debt along with cancelling the cards so I don't repeat the same mistakes. It is a challenge to manage multiple monthly payment due dates and minimum payments. I thank everyone for their consideration!<br>,24.96,Feb-2001,F,MORTGAGE,f,450.59,22.95,2012-08-01,16000.0,0,1.0,11.0,0.0,0.0,debt_consolidation,17843.0,97.5,F1, 60 months,26.0,Verified,197xx
GA,60000.0,Individual,"  Borrower added on 11/01/12 > This loan will be to pay off and down higher interest debt, closing those accounts which are paid off and lowering monthly payments. As many, there have been changes in my life over the past 4 years but through it all I have been able to keep all of my payments current.<br>",28.04,2003-05-01,B,MORTGAGE,f,332.72,12.12,2012-11-01,10000.0,0,4.0,13.0,0.0,0.0,debt_consolidation,18179.0,79.7,B3, 36 months,21.0,Verified,317xx
MD,56000.0,Individual,"  Borrower added on 08/13/13 > I took a loan from LC before which helped me tremendously. Another loan will help me very much, reducing my overall monthly payment. I never had a late payment with LClub. I can assure you investing with me is safe as I have a good job, just need a little help with all the loans from student days.<br>",21.79,2006-09-01,D,RENT,f,355.31,17.56,2013-08-01,14125.0,1,0.0,10.0,0.0,0.0,debt_consolidation,1831.0,14.8,D1, 60 months,18.0,Verified,208xx
IL,78000.0,Individual,  Borrower added on 01/22/13 > consolidate my debt to lower monthly payments<br>,24.66,Feb-2003,E,MORTGAGE,w,662.59,21.98,2013-01-01,24000.0,0,2.0,13.0,0.0,0.0,debt_consolidation,24647.0,87.1,E4, 60 months,45.0,Verified,610xx
NJ,65000.0,Individual,  Borrower added on 02/07/14 > Reduction of high interest credit cards<br><br> Borrower added on 02/07/14 > High interest credit card reduction<br>,17.98,1991-12-01,C,RENT,f,207.94,14.98,2014-02-01,6000.0,0,0.0,15.0,1.0,0.0,credit_card,17204.0,81.5,C3, 36 months,19.0,Source Verified,080xx
MN,78600.0,Individual,"  Borrower added on 02/28/13 > The loan is requested to pay off all our charge cards, cut them up, and only have one payment per month.  Credit card freedom.<br>",32.1,May-1989,B,MORTGAGE,f,427.77,14.09,2013-03-01,12500.0,0,1.0,24.0,0.0,0.0,credit_card,18211.0,51.3,B5, 36 months,39.0,Verified,550xx
CT,75000.0,Individual,  Borrower added on 02/11/13 > First loan withdrawn in error.  Mostly to pay off credit cards used for veterinarian surgery for my dog.<br>,7.74,Jan-1999,C,RENT,f,309.05,14.33,2013-02-01,9000.0,0,0.0,8.0,0.0,0.0,credit_card,20080.0,72.2,C1, 36 months,26.0,Not Verified,064xx
NY,52000.0,Individual,"  Borrower added on 01/03/13 > Dear Sir or Madam,<br><br>This loan is for debt consolidation only. I'm already making payments for the amount of this loan already. This loan is to save myself money from the high interest the banks are already charging me. I have a good steady job, pay in time and good payment history.<br>",24.67,1999-07-01,C,OWN,f,490.82,15.8,2013-01-01,14000.0,1,1.0,5.0,0.0,0.0,debt_consolidation,8610.0,72.4,C3, 36 months,12.0,Source Verified,114xx
IL,42000.0,Individual,  Borrower added on 12/02/13 > I have accumulated credit card debt out of college and making the purchase of my home. I just need to see this debt go down instead of making minimum payments. One payment will make this easier for me.<br>,7.23,Oct-2005,C,MORTGAGE,w,273.6,15.61,2013-12-01,7825.0,1,0.0,8.0,0.0,0.0,debt_consolidation,4301.0,63.2,C3, 36 months,20.0,Not Verified,612xx
NC,105000.0,Individual,  Borrower added on 12/30/13 > This  loan is for debt consolidation and this whole process was extremely easy.<br><br>  Borrower added on 12/31/13 > This has been a great experience and really glad I received the offer letter in the mail.<br>,20.35,1997-11-01,D,MORTGAGE,f,416.99,19.22,2013-12-01,16000.0,0,4.0,17.0,1.0,0.0,debt_consolidation,16395.0,72.5,D4, 60 months,38.0,Verified,277xx
NC,80000.0,Individual,  Borrower added on 12/24/13 > consolidate credit cards and have one monthly payment to get out of debt sooner<br>,7.13,1995-04-01,B,RENT,f,523.75,10.99,2013-12-01,16000.0,1,2.0,13.0,0.0,0.0,credit_card,17267.0,45.1,B2, 36 months,24.0,Not Verified,281xx
