loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,zip_code,addr_state,desc,fico_range_low,fico_range_high,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,acc_open_past_24mths,credit_history_years,has_past_delinq
20000.0, 36 months,13.99,683.46,C,C1,6.0,OWN,49600.0,Source Verified,2012-06-01,1,debt_consolidation,14.35,1990-02-01,4.0,0.0,19339.0,78.0,11.0,f,Individual,1.0,0.0,240xx,VA,  Borrower added on 05/27/12 > It will take over a decade to pay this CC debt off on their terms. I'm getting some new terms right here. My current payment on all 3 cards is around $1000. Less monthly payment with a final payoff in three yrs is the perfect solution.<br><br>  Borrower added on 05/31/12 > 1) 17.99% int<br>2) 25.24% int <br>3) 29.99% int<br>,715.0,719.0,0.0,1.0,34.0,0.0,22.32991101984942,1
14950.0, 36 months,12.12,497.42,B,B3,5.0,MORTGAGE,88000.0,Verified,2013-03-01,1,credit_card,16.65,1987-10-01,5.0,0.0,22255.0,102.1,19.0,w,Individual,3.0,0.0,014xx,MA,  Borrower added on 03/06/13 > Expedite credit card payoff by lowering interest rate.<br>,685.0,689.0,0.0,1.0,999.0,3.0,25.415468856947296,0
14000.0, 36 months,15.8,490.82,C,C3,3.0,OWN,52000.0,Source Verified,2013-01-01,1,debt_consolidation,24.67,1999-07-01,5.0,0.0,8610.0,72.4,12.0,f,Individual,1.0,0.0,114xx,NY,"  Borrower added on 01/03/13 > Dear Sir or Madam,<br><br>This loan is for debt consolidation only. I'm already making payments for the amount of this loan already. This loan is to save myself money from the high interest the banks are already charging me. I have a good steady job, pay in time and good payment history.<br>",665.0,669.0,2.0,0.0,11.0,0.0,13.505817932922657,1
5750.0, 36 months,6.03,175.01,A,A1,10.0,OWN,50000.0,Not Verified,2012-05-01,1,debt_consolidation,12.13,1979-01-01,16.0,0.0,11597.0,13.7,24.0,f,Individual,1.0,0.0,071xx,NJ,"  Borrower added on 05/02/12 > I wish to pay off an outstanding loan that is 9+ %.<br>By lowering my interest rate, I'll be out of debt sooner.<br>I like the idea of people &quot;investing' with people.<br>",750.0,754.0,0.0,0.0,999.0,4.0,33.3305954825462,0
10000.0, 36 months,13.67,340.18,B,B5,2.0,RENT,85500.0,Source Verified,2012-06-01,0,debt_consolidation,8.63,2007-09-01,6.0,0.0,11156.0,69.3,9.0,f,Individual,0.0,0.0,223xx,VA,"  Borrower added on 05/23/12 > I plan to use these funds to pay off my outstanding debt and consolidate to one monthly bill which I can pay easily. My job pays well but the interest from credit cards is a bit much. Despite that, I never miss a payment, and keep my Credit score in the 700-720 range constantly.<br>",700.0,704.0,0.0,1.0,999.0,2.0,4.7501711156741955,0
15850.0, 36 months,7.9,495.96,A,A4,5.0,RENT,40000.0,Not Verified,2012-07-01,1,debt_consolidation,13.44,2004-11-01,7.0,0.0,2417.0,13.7,13.0,f,Individual,0.0,0.0,919xx,CA,  Borrower added on 07/10/12 > To get out of debt Asap<br>,755.0,759.0,0.0,1.0,999.0,3.0,7.663244353182751,0
19675.0, 60 months,13.68,454.55,C,C1,2.0,MORTGAGE,54000.0,Source Verified,2013-07-01,1,credit_card,16.64,2003-04-01,11.0,3.0,16394.0,38.5,16.0,f,Individual,1.0,0.0,378xx,TN,  Borrower added on 07/06/13 > Consolidate my credit card payments to one payment with lower interest.<br>,720.0,724.0,0.0,0.0,999.0,3.0,10.250513347022586,0
11700.0, 36 months,15.8,410.19,C,C3,3.0,OWN,35000.0,Verified,2012-07-01,1,credit_card,31.61,2000-02-01,17.0,0.0,22599.0,76.9,43.0,f,Individual,0.0,0.0,730xx,OK,  Borrower added on 06/28/12 > going to pay off credit card debt and live an easier life!<br><br>  Borrower added on 06/28/12 > this loan is to be completly out of debt in 3 years or less so I can put more money in my retirement account.  Thank you<br>,675.0,679.0,0.0,1.0,999.0,8.0,12.413415468856948,0
17500.0, 36 months,12.12,582.26,B,B3,1.0,MORTGAGE,45700.0,Verified,2013-02-01,1,debt_consolidation,23.34,2000-03-01,9.0,0.0,19475.0,87.3,23.0,w,Individual,5.0,0.0,480xx,MI,  Borrower added on 01/29/13 > Debt consolidation<br>,685.0,689.0,0.0,0.0,999.0,3.0,12.922655715263518,0
10000.0, 36 months,9.25,319.17,A,A5,10.0,MORTGAGE,50000.0,Source Verified,2013-10-01,1,debt_consolidation,27.53,2000-10-01,10.0,0.0,6204.0,19.8,18.0,f,Individual,3.0,0.0,945xx,CA,  Borrower added on 10/12/13 > To pay off credit cards and not have multiple payments. Just have one payment every month.<br>,770.0,774.0,0.0,2.0,999.0,1.0,12.999315537303216,0
22800.0, 36 months,17.77,821.65,D,D1,10.0,RENT,58000.0,Verified,2013-05-01,1,other,24.08,1995-01-01,10.0,0.0,11501.0,42.8,17.0,f,Individual,0.0,0.0,770xx,TX,"  Borrower added on 05/03/13 > HOUSEHOLD UPTAKE; CREDIT CARD PAYMENT<br><br> Borrower added on 05/03/13 > household uptake,  credit card payment<br>",720.0,724.0,0.0,0.0,999.0,3.0,18.32991101984942,0
10000.0, 36 months,12.12,332.72,B,B3,0.0,MORTGAGE,60000.0,Verified,2012-11-01,0,debt_consolidation,28.04,2003-05-01,13.0,0.0,18179.0,79.7,21.0,f,Individual,4.0,0.0,317xx,GA,"  Borrower added on 11/01/12 > This loan will be to pay off and down higher interest debt, closing those accounts which are paid off and lowering monthly payments. As many, there have been changes in my life over the past 4 years but through it all I have been able to keep all of my payments current.<br>",690.0,694.0,0.0,0.0,999.0,1.0,9.505817932922657,0
10200.0, 36 months,14.64,351.8,C,C3,10.0,RENT,80000.0,Not Verified,2014-03-01,1,debt_consolidation,9.45,1988-10-01,5.0,1.0,4810.0,55.0,27.0,w,Individual,3.0,1.0,986xx,WA,  Borrower added on 03/06/14 > Pay off Credit Card. Purchase a vehicle<br>,665.0,669.0,0.0,1.0,999.0,4.0,25.412731006160165,0
16425.0, 60 months,22.4,457.39,E,E3,10.0,OWN,85500.0,Verified,2013-12-01,1,debt_consolidation,30.02,2004-02-01,7.0,0.0,11853.0,87.8,28.0,f,Individual,6.0,0.0,805xx,CO,  Borrower added on 12/13/13 > Debt Consolidation.<br>,665.0,669.0,0.0,2.0,28.0,8.0,9.831622176591376,1
12000.0, 36 months,10.64,390.83,B,B2,2.0,MORTGAGE,40000.0,Not Verified,2013-07-01,1,debt_consolidation,6.96,1996-12-01,10.0,0.0,8423.0,40.9,27.0,f,Individual,4.0,0.0,149xx,NY,  Borrower added on 06/24/13 > pay off cards<br><br> Borrower added on 06/24/13 > loan is to pay off credit cards<br>,680.0,684.0,0.0,1.0,30.0,2.0,16.580424366872005,1
35000.0, 60 months,21.99,966.47,E,E4,10.0,MORTGAGE,110000.0,Verified,2014-03-01,1,debt_consolidation,11.38,1998-01-01,14.0,0.0,11363.0,31.3,27.0,f,Individual,3.0,0.0,117xx,NY,  Borrower added on 03/17/14 > Debt consolidation<br>,735.0,739.0,0.0,4.0,999.0,5.0,16.161533196440793,0
14125.0, 60 months,17.56,355.31,D,D1,2.0,RENT,56000.0,Verified,2013-08-01,1,debt_consolidation,21.79,2006-09-01,10.0,0.0,1831.0,14.8,18.0,f,Individual,0.0,0.0,208xx,MD,"  Borrower added on 08/13/13 > I took a loan from LC before which helped me tremendously. Another loan will help me very much, reducing my overall monthly payment. I never had a late payment with LClub. I can assure you investing with me is safe as I have a good job, just need a little help with all the loans from student days.<br>",740.0,744.0,0.0,0.0,999.0,11.0,6.915811088295688,0
6000.0, 36 months,14.98,207.94,C,C3,8.0,RENT,65000.0,Source Verified,2014-02-01,0,credit_card,17.98,1991-12-01,15.0,1.0,17204.0,81.5,19.0,f,Individual,0.0,0.0,080xx,NJ,  Borrower added on 02/07/14 > Reduction of high interest credit cards<br><br> Borrower added on 02/07/14 > High interest credit card reduction<br>,665.0,669.0,0.0,1.0,999.0,1.0,22.171115674195757,0
12000.0, 60 months,14.98,285.36,C,C3,1.0,MORTGAGE,95000.0,Source Verified,2014-01-01,1,credit_card,12.94,1999-01-01,8.0,0.0,12151.0,90.0,20.0,f,Individual,0.0,0.0,494xx,MI,  Borrower added on 01/03/14 > This loan is to refinance my outstanding credit card debt into one payment with a lower interest rate.<br>,660.0,664.0,0.0,0.0,39.0,3.0,15.000684462696784,1
35000.0, 60 months,19.72,921.85,D,D5,9.0,RENT,150000.0,Verified,2013-03-01,1,debt_consolidation,18.07,1999-06-01,10.0,0.0,23612.0,84.3,22.0,f,Individual,4.0,0.0,950xx,CA,  Borrower added on 03/18/13 > First I would like to thank the members for considering my request. My goal is to pay off my high interest credit cards and reduce my monthly car payment by paying down the principal balance. This loan would allow me to put my financial house in order by have one fixed monthly payment to make.<br>,680.0,684.0,1.0,0.0,20.0,1.0,13.749486652977414,1
8725.0, 36 months,7.9,273.01,A,A4,10.0,RENT,26000.0,Verified,2012-11-01,1,credit_card,19.38,2001-08-01,16.0,0.0,20462.0,29.5,32.0,f,Individual,0.0,0.0,895xx,NV,  Borrower added on 11/27/12 > I am trying to turn things around for myself. Had some emergency bills come up and I put them on a card. I am wanting to refinance the card to get these bills paid off quicker and get myself back on the right track. I hope to become an investor in Lending Club someday to help those just like myself!<br>,725.0,729.0,0.0,1.0,999.0,9.0,11.252566735112936,0
10000.0, 36 months,7.62,311.62,A,A3,10.0,RENT,55000.0,Not Verified,2012-04-01,1,debt_consolidation,9.97,1996-04-01,12.0,0.0,17619.0,43.6,29.0,f,Individual,0.0,0.0,951xx,CA,  Borrower added on 04/04/12 > my c/c debt is <br>17987<br>monthly  for all cards 350.00<br>Balance with 0 apr is $2938/$3456/$2039<br>Balance with 18.99 $2645/$2000/<br>Balance with 7.99 $4909<br>Student loan: $18541 montly $156<br>that would be all my payments for loans.<br>No mortgages/lines of credit /<br>,735.0,739.0,0.0,1.0,999.0,4.0,16.0,0
30000.0, 60 months,21.0,811.61,E,E2,10.0,MORTGAGE,100000.0,Verified,2013-04-01,0,debt_consolidation,15.42,1994-07-01,11.0,0.0,10019.0,63.8,47.0,f,Individual,1.0,0.0,666xx,KS,  Borrower added on 04/06/13 > Debt consolidation<br>,675.0,679.0,1.0,2.0,10.0,1.0,18.751540041067763,1
7025.0, 36 months,7.9,219.82,A,A4,10.0,MORTGAGE,35000.0,Not Verified,2012-09-01,1,credit_card,18.21,1989-09-01,10.0,0.0,15760.0,45.0,21.0,f,Individual,3.0,0.0,850xx,AZ,  Borrower added on 08/14/12 > I want to pay off a credit card that has a 0% interest rate that is about to expire before the rate goes sky high.<br>,710.0,714.0,0.0,0.0,999.0,4.0,23.000684462696785,0
5075.0, 36 months,14.09,173.68,B,B5,8.0,RENT,25200.0,Verified,2013-03-01,0,debt_consolidation,28.81,2001-07-01,8.0,0.0,15975.0,37.6,22.0,f,Individual,0.0,0.0,936xx,CA,  Borrower added on 02/20/13 > car and bills<br><br> Borrower added on 02/20/13 > bills and car<br>,710.0,714.0,0.0,3.0,999.0,7.0,11.665982203969884,0
8000.0, 36 months,18.49,291.19,D,D2,5.0,RENT,38000.0,Not Verified,2012-12-01,1,wedding,20.62,2008-02-01,8.0,0.0,4058.0,21.4,11.0,f,Individual,0.0,0.0,220xx,VA,  Borrower added on 12/08/12 > I'm helping my brother in his wedding. There is a good reason why I'm doing this. He always stood by myside when I needed him the most.<br>,735.0,739.0,0.0,1.0,999.0,5.0,4.832306639288158,0
8800.0, 36 months,10.64,286.61,B,B2,7.0,RENT,40000.0,Not Verified,2013-07-01,1,debt_consolidation,7.38,1997-04-01,13.0,1.0,6459.0,37.6,23.0,f,Individual,1.0,1.0,722xx,AR,  Borrower added on 06/22/13 > Debt payoff only and be debt free..and cut up credit cards<br>,710.0,714.0,0.0,0.0,999.0,6.0,16.249144421629023,0
28000.0, 36 months,12.49,936.57,B,B4,0.0,MORTGAGE,242500.0,Verified,2014-02-01,1,debt_consolidation,21.79,1986-10-01,16.0,0.0,147182.0,89.1,35.0,f,Individual,4.0,0.0,910xx,CA,  Borrower added on 02/23/14 > I want to consolidate some of my revolving credit debt and reclassify it as a personal loan to reduce my monthly payments and improve my credit rating.<br>,700.0,704.0,0.0,3.0,999.0,4.0,27.33744010951403,0
11000.0, 36 months,12.12,365.99,B,B3,6.0,RENT,31000.0,Not Verified,2012-06-01,1,debt_consolidation,13.08,1999-12-01,7.0,0.0,12561.0,67.5,19.0,f,Individual,1.0,0.0,282xx,NC,"  Borrower added on 06/05/12 > I am a responsible person who makes payments on time.  Because of circumstances beyond my control several years ago, I hit a few snags in the road.  I am so happy to have been given the opportunity to consolidate into one affordable payment.  In 36 months, I will be 100% debt free.  Thank you!<br>",695.0,699.0,0.0,0.0,999.0,5.0,12.501026694045176,0
15000.0, 36 months,17.27,536.81,D,D1,10.0,RENT,45000.0,Not Verified,2012-04-01,1,debt_consolidation,17.68,1991-03-01,21.0,0.0,10845.0,67.4,41.0,f,Individual,0.0,0.0,801xx,CO,  Borrower added on 04/12/12 > This is to consolidate my bills to pay them off faster so I can look into getting a new car in the next couple of years<br>,670.0,674.0,0.0,1.0,49.0,5.0,21.086926762491444,1
9750.0, 60 months,11.14,212.67,B,B2,5.0,RENT,78000.0,Verified,2012-07-01,1,other,19.71,2001-08-01,19.0,0.0,6182.0,27.0,33.0,f,Individual,2.0,0.0,180xx,PA,  Borrower added on 06/23/12 > The loan is for my wedding in 2 weeks.<br><br> Borrower added on 06/23/12 > The money will go towards wedding expenses such as her ring.<br>,760.0,764.0,0.0,2.0,999.0,2.0,10.915811088295689,0
35000.0, 36 months,14.09,1197.75,B,B5,10.0,MORTGAGE,86000.0,Verified,2013-02-01,1,debt_consolidation,28.51,1987-06-01,10.0,0.0,14528.0,52.8,23.0,f,Individual,1.0,0.0,029xx,RI,  Borrower added on 01/15/13 > I would like to consolidate my credit card debts as well as pay off a personal loan that I took when I purchased my home in August of 2011.<br>,690.0,694.0,0.0,0.0,44.0,2.0,25.672826830937716,1
18000.0, 36 months,14.98,623.8,C,C3,3.0,RENT,105000.0,Not Verified,2014-01-01,1,credit_card,16.81,2010-02-01,10.0,0.0,13664.0,63.3,14.0,f,Individual,0.0,0.0,230xx,VA,  Borrower added on 01/16/14 > pay off my credit card with higher interest<br>,670.0,674.0,0.0,2.0,999.0,6.0,3.915126625598905,0
10000.0, 36 months,11.99,332.1,B,B3,1.0,RENT,26000.0,Source Verified,2014-01-01,0,credit_card,14.82,2000-03-01,5.0,1.0,11222.0,92.7,12.0,f,Individual,2.0,1.0,344xx,FL,  Borrower added on 01/02/14 > To pay off high intrest credit cards<br>,665.0,669.0,0.0,0.0,72.0,0.0,13.83709787816564,1
18350.0, 36 months,10.16,593.49,B,B1,9.0,MORTGAGE,51000.0,Verified,2013-05-01,1,debt_consolidation,21.08,1998-01-01,11.0,0.0,19402.0,53.8,21.0,f,Individual,3.0,0.0,640xx,MO,  Borrower added on 05/01/13 > Needing to consolidate and pay down debt.<br>,705.0,709.0,0.0,1.0,999.0,2.0,15.329226557152635,0
2800.0, 36 months,10.16,90.56,B,B1,3.0,RENT,29000.0,Not Verified,2012-08-01,1,credit_card,14.69,2001-05-01,8.0,0.0,2763.0,38.9,27.0,f,Individual,0.0,0.0,972xx,OR,  Borrower added on 07/16/12 > Reducing credit card debt by decreasing interest rate to save more for a down payment on a house!<br>,710.0,714.0,0.0,1.0,26.0,3.0,11.252566735112936,1
4800.0, 36 months,11.14,157.47,B,B2,6.0,MORTGAGE,75000.0,Source Verified,2012-07-01,1,credit_card,15.67,2006-03-01,18.0,0.0,19622.0,57.9,25.0,f,Individual,3.0,0.0,778xx,TX,  Borrower added on 06/23/12 > I would like to pay-off the high interest credit-card balance by replacing it with a lower interest loan.<br>,700.0,704.0,0.0,2.0,999.0,4.0,6.335386721423682,0
16000.0, 60 months,15.1,381.48,C,C2,2.0,MORTGAGE,77368.0,Source Verified,2013-10-01,1,debt_consolidation,12.95,2001-09-01,13.0,0.0,12911.0,61.8,23.0,w,Individual,2.0,0.0,268xx,WV,  Borrower added on 10/01/13 > Pay off high interest rate credit cards at a much better rate.<br>,695.0,699.0,0.0,0.0,999.0,5.0,12.082135523613964,0
9600.0, 36 months,12.12,319.41,B,B3,10.0,MORTGAGE,101000.0,Not Verified,2012-11-01,1,debt_consolidation,16.08,1998-03-01,19.0,0.0,24415.0,49.9,43.0,f,Individual,4.0,0.0,191xx,PA,  Borrower added on 10/27/12 > I am trying to consolidate debt so that payments become more manageable. I so appreciate your help.<br>,685.0,689.0,1.0,0.0,7.0,4.0,14.67214236824093,1
12000.0, 36 months,13.11,404.97,B,B4,7.0,MORTGAGE,73000.0,Not Verified,2012-08-01,1,debt_consolidation,23.72,2000-02-01,15.0,0.0,28383.0,44.0,31.0,f,Individual,5.0,0.0,060xx,CT,  Borrower added on 07/17/12 > We had many expenses over the past year and we would like to pay down our higher interest rate credit cards.<br>,700.0,704.0,0.0,1.0,999.0,6.0,12.498288843258042,0
2000.0, 36 months,17.77,72.08,D,D1,4.0,MORTGAGE,40000.0,Not Verified,2012-11-01,1,medical,13.26,2000-01-01,5.0,0.0,14221.0,78.1,20.0,f,Individual,0.0,0.0,880xx,NM,  Borrower added on 11/21/12 > Had some unexpected medical expenses and home repairs.  This loan will help us get our feet on the ground again and to move forward in positive direction.<br>,660.0,664.0,0.0,0.0,47.0,1.0,12.83504449007529,1
12000.0, 36 months,17.77,432.45,D,D1,2.0,MORTGAGE,45000.0,Not Verified,2012-09-01,1,debt_consolidation,16.91,2004-03-01,7.0,0.0,9409.0,68.2,35.0,f,Individual,1.0,0.0,577xx,SD,  Borrower added on 08/24/12 > I want to do away with individual payments. 3 separate one right now. Get rid of my credit cards and make one payment a month.  I would like to pay it off early if possible.  I have a plan I hope it works as far as me getting my loan. I am a single mom. And just want to make things easier for us.<br><br> Borrower added on 08/25/12 > It is to consolidate 4 bills (credit cards). By doing this I can actually close the accounts. Stop using them. Have one payment not 4 and a n actually pay off date. This will allow more money a month to put into savings also.<br><br>  Borrower added on 08/27/12 > I hope if anyone has any more questions they will ask. I will answer any question. I just need some assistance to make this loan work. Ask whatever you need. Thanks for your consideration.<br><br>  Borrower added on 08/28/12 > I did some research into my interest rates. They are horrible 2 cards at 29.99% and 1 at 19.99% . One loan I pay 316.00 everytime two weeks for a yr on 2200.00 figure that rate out. I really made a mistake on that one. Please help. Thanks again.<br>,665.0,669.0,0.0,2.0,34.0,1.0,8.503764544832306,1
28000.0, 60 months,17.77,707.52,D,D1,0.0,RENT,80000.0,Verified,2013-04-01,1,debt_consolidation,16.53,1983-06-01,14.0,0.0,19932.0,79.1,26.0,f,Individual,2.0,0.0,750xx,TX,  Borrower added on 04/09/13 > I want to consolidate all my debts and improve my credit score.<br>,660.0,664.0,1.0,0.0,21.0,2.0,29.83436002737851,1
20000.0, 36 months,13.99,504.91,C,C1,2.0,MORTGAGE,149311.0,Verified,2012-07-01,1,debt_consolidation,8.38,1992-10-01,12.0,0.0,9284.0,52.2,34.0,f,Individual,2.0,0.0,731xx,OK,  Borrower added on 06/15/12 > My loan is to consolidate bills and save my credit<br>,700.0,704.0,0.0,3.0,999.0,5.0,19.74811772758385,0
25000.0, 36 months,19.22,919.19,D,D4,9.0,RENT,80000.0,Verified,2014-01-01,1,debt_consolidation,8.57,1999-07-01,12.0,0.0,14510.0,66.3,23.0,f,Individual,0.0,0.0,113xx,NY,  Borrower added on 01/15/14 > To pay my credit card and my debts.<br>,685.0,689.0,0.0,0.0,999.0,6.0,14.505133470225871,0
13000.0, 60 months,21.6,356.1,E,E3,8.0,MORTGAGE,62000.0,Verified,2013-09-01,1,debt_consolidation,16.08,1993-04-01,11.0,1.0,12522.0,79.8,17.0,f,Individual,4.0,1.0,123xx,NY,  Borrower added on 08/27/13 > Credit Card Debt consolidtion<br>,670.0,674.0,0.0,1.0,999.0,6.0,20.418891170431213,0
11850.0, 36 months,14.47,407.72,C,C2,10.0,OWN,35000.0,Not Verified,2013-12-01,1,other,27.19,1986-11-01,13.0,0.0,17699.0,19.4,17.0,f,Individual,0.0,0.0,765xx,TX,  Borrower added on 12/05/13 > to combine debt<br><br> Borrower added on 12/05/13 > to combine credit card debt<br>,745.0,749.0,0.0,0.0,999.0,4.0,27.082819986310746,0
10000.0, 36 months,16.29,353.01,C,C4,5.0,MORTGAGE,69000.0,Not Verified,2012-08-01,1,credit_card,20.16,2002-03-01,18.0,0.0,13991.0,88.6,28.0,f,Individual,1.0,0.0,349xx,FL,  Borrower added on 07/21/12 > I recently bought a home and used one of my credit cards to quickly finance some repairs necessary for lower insurance rates and increased energy efficiency. I'd like to refi at a lower interest rate.  I've worked in progressively responsible positions with the same company for nearly five years.<br>,675.0,679.0,0.0,3.0,999.0,3.0,10.420260095824778,0
24000.0, 36 months,6.62,736.89,A,A2,10.0,MORTGAGE,290000.0,Verified,2013-06-01,1,home_improvement,2.43,1996-11-01,9.0,0.0,90580.0,29.9,27.0,f,Individual,4.0,0.0,453xx,OH,"  Borrower added on 06/03/13 > Master Bathroom Remodel - New cabinets, new counter tops/sinks/faucets, new shower/shower heads, relocate toilet, new lights, new mirrors, reconfigure electrical, plumbing and heating.<br>",760.0,764.0,0.0,2.0,999.0,1.0,16.580424366872005,0
20000.0, 60 months,21.98,552.16,E,E4,10.0,MORTGAGE,50000.0,Verified,2012-10-01,0,debt_consolidation,22.49,2000-09-01,6.0,0.0,9576.0,37.4,16.0,f,Individual,0.0,0.0,336xx,FL,  Borrower added on 09/26/12 > to pay off some bills and finish my bathroom.<br>,670.0,674.0,0.0,0.0,32.0,3.0,12.082135523613964,1
28000.0, 60 months,23.83,802.75,F,F5,6.0,RENT,85000.0,Verified,2013-07-01,1,debt_consolidation,14.37,1994-12-01,8.0,0.0,23969.0,86.2,23.0,w,Individual,3.0,0.0,200xx,DC,"  Borrower added on 06/17/13 > I am requesting the loan so that I can pay down my debt. I currently pay on my debt every 2 weeks with a budget of 2,058. I have been employed with job company for several years.  I am a great borrower because I am never late on my payments and when I have extra money, I try to pay more.<br><br> Borrower added on 06/17/13 > I am requesting the loan so that I can pay down my debt.  My family lost everything a few years ago and finally, I feel as if things are getting better.  I currently pay on my debt every pay cycle with a budget of 2,058.06.   I have steady income and pay my debt.<br>",660.0,664.0,0.0,1.0,32.0,6.0,18.581793292265573,1
11325.0, 36 months,12.12,376.81,B,B3,2.0,MORTGAGE,40000.0,Not Verified,2013-04-01,0,credit_card,19.39,2003-08-01,11.0,0.0,14726.0,71.5,23.0,f,Individual,1.0,0.0,447xx,OH,"  Borrower added on 04/14/13 > I've learned a lot about the revolving debt I've been paying on these last ten years, and this loan could help me pay off my credit debt sooner than at the rate I am going today.  Please help me reach financial freedom quicker, so I can invest more into my family and retirement. Thank you!<br>",680.0,684.0,0.0,0.0,999.0,2.0,9.66735112936345,0
